Game 1,Home,Score,Away,Score
,Boltway Bad Dragons,134,Czalliso Pythons,128
,Dotruga Falno,119,Bongatar Banging Bongos,143
,Ethanthova Ponies,136,TND Tanks,121
,Faehrenfall Feathercats,120,Stedro Boulders,124
Game 33,Home,Score,Away,Score
,Avura Aviators,115,Transhimalia Disasters,116
,Aiyota Pumps,125,Boltway Bad Dragons,118
,Pyxanovia Pixies,130,Dotruga Falno,114
,Lyintaria Lynx,120,Ethanthova Ponies,130
,Holykol Bears,114,Faehrenfall Feathercats,117
,Holy Yektonisa Bishops,125,Stedro Boulders,131
,Dvimne Spirits,125,TND Tanks,113
,Czalliso Pythons,125,Bongatar Banging Bongos,132
,Serkr Atolls,133,Aahrus Moosi,127
,Shmupland Dictators,133,Red Rainbow Sickles,120
,Auspikitan Golden Falcons,125,Naxda Nomads,127
,Calto Cows,118,Kaeshar Kaisers,114
,Height Sagua Cats,119,Blanaxon Hammers,121
,Key to Don Yees,134,Barsein Bats,131
,Manwx Saguans,125,Autolik Autonomy,113
,Sagua Ocelots,112,Solea Geysers,119
Game 34,Home,Score,Away,Score
,Aahrus Moosi,131,Manwx Saguans,148
,Sagua Ocelots,129,Key to Don Yees,121
,Solea Geysers,132,Height Sagua Cats,125
,Autolik Autonomy,121,Calto Cows,120
,Barsein Bats,129,Auspikitan Golden Falcons,136
,Blanaxon Hammers,115,Transhimalia Disasters,118
,Kaeshar Kaisers,122,Pyxanovia Pixies,141
,Naxda Nomads,118,Lyintaria Lynx,124
,Red Rainbow Sickles,109,Holykol Bears,123
,Serkr Atolls,114,Holy Yektonisa Bishops,125
,Shmupland Dictators,111,Dvimne Spirits,129
,Aiyota Pumps,135,Czalliso Pythons,139
,Avura Aviators,119,Bongatar Banging Bongos,136
,Boltway Bad Dragons,110,TND Tanks,127
,Dotruga Falno,129,Stedro Boulders,134
,Ethanthova Ponies,139,Faehrenfall Feathercats,113
Game 35,Home,Score,Away,Score
,Aahrus Moosi,109,Transhimalia Disasters,116
,Auspikitan Golden Falcons,120,Pyxanovia Pixies,134
,Calto Cows,120,Lyintaria Lynx,131
,Height Sagua Cats,131,Holykol Bears,140
,Key to Don Yees,138,Holy Yektonisa Bishops,141
,Manwx Saguans,138,Dvimne Spirits,140
,Sagua Ocelots,141,Czalliso Pythons,137
,Solea Geysers,129,Bongatar Banging Bongos,127
,Autolik Autonomy,106,TND Tanks,119
,Barsein Bats,125,Stedro Boulders,112
,Blanaxon Hammers,119,Faehrenfall Feathercats,110
,Kaeshar Kaisers,130,Ethanthova Ponies,134
,Naxda Nomads,108,Dotruga Falno,118
,Red Rainbow Sickles,127,Boltway Bad Dragons,116
,Serkr Atolls,138,Avura Aviators,132
,Shmupland Dictators,112,Aiyota Pumps,115
Game 36,Home,Score,Away,Score
,Aahrus Moosi,121,Pyxanovia Pixies,137
,Lyintaria Lynx,122,Transhimalia Disasters,135
,Holykol Bears,115,Auspikitan Golden Falcons,124
,Holy Yektonisa Bishops,104,Calto Cows,107
,Dvimne Spirits,138,Height Sagua Cats,117
,Czalliso Pythons,123,Key to Don Yees,120
,Bongatar Banging Bongos,139,Manwx Saguans,144
,TND Tanks,107,Sagua Ocelots,124
,Stedro Boulders,109,Solea Geysers,134
,Faehrenfall Feathercats,121,Autolik Autonomy,120
,Ethanthova Ponies,125,Barsein Bats,129
,Dotruga Falno,123,Blanaxon Hammers,121
,Boltway Bad Dragons,116,Kaeshar Kaisers,119
,Avura Aviators,126,Naxda Nomads,125
,Aiyota Pumps,113,Red Rainbow Sickles,111
,Shmupland Dictators,126,Serkr Atolls,114
Game 37,Home,Score,Away,Score
,Aahrus Moosi,113,Shmupland Dictators,119
,Aiyota Pumps,141,Serkr Atolls,135
,Avura Aviators,111,Red Rainbow Sickles,129
,Boltway Bad Dragons,127,Naxda Nomads,130
,Dotruga Falno,120,Kaeshar Kaisers,124
,Ethanthova Ponies,147,Blanaxon Hammers,115
,Faehrenfall Feathercats,118,Barsein Bats,119
,Stedro Boulders,131,Autolik Autonomy,122
,TND Tanks,98,Solea Geysers,127
,Bongatar Banging Bongos,112,Sagua Ocelots,110
,Czalliso Pythons,113,Manwx Saguans,125
,Dvimne Spirits,133,Key to Don Yees,110
,Holy Yektonisa Bishops,129,Height Sagua Cats,124
,Holykol Bears,108,Calto Cows,122
,Lyintaria Lynx,124,Auspikitan Golden Falcons,132
,Pyxanovia Pixies,99,Transhimalia Disasters,112
Game 38,Home,Score,Away,Score
,Faehrenfall Feathercats,121,Transhimalia Disasters,123
,Ethanthova Ponies,119,Stedro Boulders,117
,Dotruga Falno,127,TND Tanks,125
,Boltway Bad Dragons,113,Bongatar Banging Bongos,133
,Avura Aviators,127,Czalliso Pythons,118
,Aiyota Pumps,133,Dvimne Spirits,141
,Pyxanovia Pixies,128,Holy Yektonisa Bishops,112
,Lyintaria Lynx,125,Holykol Bears,127
,Blanaxon Hammers,136,Aahrus Moosi,115
,Kaeshar Kaisers,114,Barsein Bats,129
,Naxda Nomads,118,Autolik Autonomy,110
,Red Rainbow Sickles,118,Solea Geysers,133
,Serkr Atolls,137,Sagua Ocelots,136
,Shmupland Dictators,106,Manwx Saguans,104
,Auspikitan Golden Falcons,136,Key to Don Yees,142
,Calto Cows,133,Height Sagua Cats,131
Game 39,Home,Score,Away,Score
,Aahrus Moosi,120,Auspikitan Golden Falcons,126
,Calto Cows,118,Transhimalia Disasters,120
,Height Sagua Cats,114,Pyxanovia Pixies,119
,Key to Don Yees,135,Lyintaria Lynx,120
,Manwx Saguans,119,Holykol Bears,135
,Sagua Ocelots,138,Holy Yektonisa Bishops,126
,Solea Geysers,138,Dvimne Spirits,127
,Autolik Autonomy,115,Czalliso Pythons,128
,Barsein Bats,116,Bongatar Banging Bongos,139
,Blanaxon Hammers,138,TND Tanks,127
,Kaeshar Kaisers,120,Stedro Boulders,135
,Naxda Nomads,120,Faehrenfall Feathercats,129
,Red Rainbow Sickles,119,Ethanthova Ponies,143
,Serkr Atolls,134,Dotruga Falno,129
,Shmupland Dictators,126,Boltway Bad Dragons,113
,Aiyota Pumps,143,Avura Aviators,118
Game 40,Home,Score,Away,Score
,Naxda Nomads,134,Aahrus Moosi,132
,Red Rainbow Sickles,106,Kaeshar Kaisers,104
,Serkr Atolls,130,Blanaxon Hammers,135
,Shmupland Dictators,116,Barsein Bats,124
,Aiyota Pumps,120,Autolik Autonomy,131
,Avura Aviators,117,Solea Geysers,132
,Boltway Bad Dragons,124,Sagua Ocelots,128
,Dotruga Falno,132,Manwx Saguans,124
,Ethanthova Ponies,131,Key to Don Yees,118
,Faehrenfall Feathercats,132,Height Sagua Cats,127
,Stedro Boulders,118,Calto Cows,126
,TND Tanks,111,Auspikitan Golden Falcons,115
,Bongatar Banging Bongos,114,Transhimalia Disasters,126
,Czalliso Pythons,127,Pyxanovia Pixies,130
,Dvimne Spirits,135,Lyintaria Lynx,127
,Holy Yektonisa Bishops,129,Holykol Bears,128
Game 41,Home,Score,Away,Score
,Aahrus Moosi,130,Ethanthova Ponies,122
,Dotruga Falno,122,Faehrenfall Feathercats,121
,Boltway Bad Dragons,124,Stedro Boulders,122
,Avura Aviators,126,TND Tanks,132
,Aiyota Pumps,124,Bongatar Banging Bongos,126
,Shmupland Dictators,147,Czalliso Pythons,135
,Serkr Atolls,121,Dvimne Spirits,120
,Red Rainbow Sickles,130,Holy Yektonisa Bishops,143
,Naxda Nomads,135,Holykol Bears,129
,Kaeshar Kaisers,104,Lyintaria Lynx,120
,Blanaxon Hammers,128,Pyxanovia Pixies,129
,Barsein Bats,147,Transhimalia Disasters,122
,Autolik Autonomy,110,Auspikitan Golden Falcons,121
,Solea Geysers,142,Calto Cows,126
,Sagua Ocelots,128,Height Sagua Cats,120
,Manwx Saguans,131,Key to Don Yees,121
Game 42,Home,Score,Away,Score
,Autolik Autonomy,128,Aahrus Moosi,132
,Barsein Bats,127,Solea Geysers,122
,Blanaxon Hammers,134,Sagua Ocelots,140
,Kaeshar Kaisers,104,Manwx Saguans,106
,Naxda Nomads,133,Key to Don Yees,116
,Red Rainbow Sickles,120,Height Sagua Cats,119
,Serkr Atolls,150,Calto Cows,129
,Shmupland Dictators,119,Auspikitan Golden Falcons,135
,Aiyota Pumps,143,Transhimalia Disasters,135
,Avura Aviators,117,Pyxanovia Pixies,123
,Boltway Bad Dragons,132,Lyintaria Lynx,118
,Dotruga Falno,119,Holykol Bears,121
,Ethanthova Ponies,112,Holy Yektonisa Bishops,119
,Faehrenfall Feathercats,130,Dvimne Spirits,138
,Stedro Boulders,122,Czalliso Pythons,118
,TND Tanks,111,Bongatar Banging Bongos,126
Game 43,Home,Score,Away,Score
,Aahrus Moosi,140,Stedro Boulders,145
,Faehrenfall Feathercats,132,TND Tanks,131
,Ethanthova Ponies,139,Bongatar Banging Bongos,116
,Dotruga Falno,146,Czalliso Pythons,132
,Boltway Bad Dragons,138,Dvimne Spirits,124
,Avura Aviators,145,Holy Yektonisa Bishops,144
,Aiyota Pumps,119,Holykol Bears,131
,Shmupland Dictators,119,Lyintaria Lynx,120
,Serkr Atolls,135,Pyxanovia Pixies,121
,Red Rainbow Sickles,140,Transhimalia Disasters,137
,Naxda Nomads,123,Auspikitan Golden Falcons,132
,Kaeshar Kaisers,107,Calto Cows,123
,Blanaxon Hammers,136,Height Sagua Cats,131
,Barsein Bats,114,Key to Don Yees,109
,Autolik Autonomy,123,Manwx Saguans,128
,Solea Geysers,134,Sagua Ocelots,133
Game 44,Home,Score,Away,Score
,Dotruga Falno,117,Aahrus Moosi,123
,Boltway Bad Dragons,135,Ethanthova Ponies,132
,Avura Aviators,119,Faehrenfall Feathercats,133
,Aiyota Pumps,132,Stedro Boulders,116
,Shmupland Dictators,132,TND Tanks,127
,Serkr Atolls,134,Bongatar Banging Bongos,132
,Red Rainbow Sickles,122,Czalliso Pythons,138
,Naxda Nomads,112,Dvimne Spirits,128
,Kaeshar Kaisers,123,Holy Yektonisa Bishops,120
,Blanaxon Hammers,127,Holykol Bears,147
,Barsein Bats,125,Lyintaria Lynx,138
,Autolik Autonomy,126,Pyxanovia Pixies,122
,Solea Geysers,139,Transhimalia Disasters,135
,Sagua Ocelots,122,Auspikitan Golden Falcons,123
,Manwx Saguans,118,Calto Cows,122
,Key to Don Yees,137,Height Sagua Cats,131
Game 45,Home,Score,Away,Score
,Aahrus Moosi,117,Height Sagua Cats,131
,Key to Don Yees,111,Calto Cows,116
,Manwx Saguans,121,Auspikitan Golden Falcons,109
,Solea Geysers,121,Sagua Ocelots,146
,Autolik Autonomy,111,Kaeshar Kaisers,113
,Naxda Nomads,152,Blanaxon Hammers,142
,Red Rainbow Sickles,106,Barsein Bats,113
,Shmupland Dictators,102,Serkr Atolls,132
,Transhimalia Disasters,119,Holykol Bears,134
,Holy Yektonisa Bishops,126,Lyintaria Lynx,117
,Dvimne Spirits,134,Pyxanovia Pixies,135
,Bongatar Banging Bongos,122,Czalliso Pythons,108
,TND Tanks,138,Ethanthova Ponies,149
,Dotruga Falno,127,Faehrenfall Feathercats,136
,Boltway Bad Dragons,124,Stedro Boulders,153
,Aiyota Pumps,122,Avura Aviators,119
Game 46,Home,Score,Away,Score
,Transhimalia Disasters,135,Stedro Boulders,124
,Faehrenfall Feathercats,142,TND Tanks,139
,Ethanthova Ponies,125,Bongatar Banging Bongos,135
,Dotruga Falno,121,Czalliso Pythons,119
,Boltway Bad Dragons,129,Dvimne Spirits,134
,Avura Aviators,129,Holy Yektonisa Bishops,131
,Aiyota Pumps,129,Holykol Bears,122
,Pyxanovia Pixies,116,Lyintaria Lynx,121
,Aahrus Moosi,136,Barsein Bats,123
,Blanaxon Hammers,114,Autolik Autonomy,117
,Kaeshar Kaisers,142,Solea Geysers,120
,Naxda Nomads,105,Sagua Ocelots,116
,Red Rainbow Sickles,109,Manwx Saguans,128
,Serkr Atolls,122,Key to Don Yees,118
,Shmupland Dictators,119,Height Sagua Cats,114
,Auspikitan Golden Falcons,139,Calto Cows,143
Game 47,Home,Score,Away,Score
,Holy Yektonisa Bishops,114,Aahrus Moosi,136
,Dvimne Spirits,136,Holykol Bears,128
,Czalliso Pythons,123,Lyintaria Lynx,114
,Bongatar Banging Bongos,121,Pyxanovia Pixies,116
,TND Tanks,114,Transhimalia Disasters,132
,Stedro Boulders,123,Auspikitan Golden Falcons,120
,Faehrenfall Feathercats,128,Calto Cows,147
,Ethanthova Ponies,117,Height Sagua Cats,134
,Dotruga Falno,126,Key to Don Yees,129
,Boltway Bad Dragons,142,Manwx Saguans,146
,Avura Aviators,117,Sagua Ocelots,110
,Aiyota Pumps,116,Solea Geysers,128
,Shmupland Dictators,119,Autolik Autonomy,120
,Serkr Atolls,129,Barsein Bats,117
,Red Rainbow Sickles,132,Blanaxon Hammers,123
,Naxda Nomads,107,Kaeshar Kaisers,134
Game 48,Home,Score,Away,Score
,Aiyota Pumps,103,Aahrus Moosi,126
,Avura Aviators,110,Shmupland Dictators,108
,Boltway Bad Dragons,118,Serkr Atolls,140
,Dotruga Falno,124,Red Rainbow Sickles,123
,Ethanthova Ponies,142,Naxda Nomads,112
,Faehrenfall Feathercats,133,Kaeshar Kaisers,121
,Stedro Boulders,131,Blanaxon Hammers,134
,TND Tanks,128,Barsein Bats,146
,Bongatar Banging Bongos,107,Autolik Autonomy,125
,Czalliso Pythons,109,Solea Geysers,105
,Dvimne Spirits,141,Sagua Ocelots,122
,Holy Yektonisa Bishops,124,Manwx Saguans,132
,Holykol Bears,134,Key to Don Yees,131
,Lyintaria Lynx,117,Height Sagua Cats,116
,Pyxanovia Pixies,130,Calto Cows,129
,Transhimalia Disasters,131,Auspikitan Golden Falcons,143
Game 49,Home,Score,Away,Score
,Aahrus Moosi,131,Sagua Ocelots,128
,Manwx Saguans,124,Solea Geysers,114
,Key to Don Yees,139,Autolik Autonomy,121
,Height Sagua Cats,119,Barsein Bats,129
,Calto Cows,105,Blanaxon Hammers,123
,Auspikitan Golden Falcons,124,Kaeshar Kaisers,140
,Transhimalia Disasters,138,Naxda Nomads,136
,Pyxanovia Pixies,129,Red Rainbow Sickles,142
,Lyintaria Lynx,119,Serkr Atolls,128
,Holykol Bears,135,Shmupland Dictators,129
,Holy Yektonisa Bishops,136,Aiyota Pumps,151
,Dvimne Spirits,132,Avura Aviators,131
,Czalliso Pythons,121,Boltway Bad Dragons,131
,Bongatar Banging Bongos,123,Dotruga Falno,110
,TND Tanks,114,Ethanthova Ponies,122
,Stedro Boulders,124,Faehrenfall Feathercats,118
Game 50,Home,Score,Away,Score
,Aahrus Moosi,120,Height Sagua Cats,125
,Key to Don Yees,128,Calto Cows,132
,Manwx Saguans,112,Auspikitan Golden Falcons,125
,Sagua Ocelots,126,Transhimalia Disasters,123
,Solea Geysers,122,Pyxanovia Pixies,120
,Autolik Autonomy,111,Lyintaria Lynx,130
,Barsein Bats,127,Holykol Bears,140
,Blanaxon Hammers,132,Holy Yektonisa Bishops,130
,Kaeshar Kaisers,119,Dvimne Spirits,124
,Naxda Nomads,135,Czalliso Pythons,136
,Red Rainbow Sickles,130,Bongatar Banging Bongos,129
,Serkr Atolls,143,TND Tanks,128
,Shmupland Dictators,132,Stedro Boulders,122
,Aiyota Pumps,145,Faehrenfall Feathercats,119
,Avura Aviators,114,Ethanthova Ponies,119
,Boltway Bad Dragons,147,Dotruga Falno,142
Game 51,Home,Score,Away,Score
,Boltway Bad Dragons,132,Aahrus Moosi,119
,Dotruga Falno,142,Avura Aviators,122
,Ethanthova Ponies,132,Aiyota Pumps,139
,Faehrenfall Feathercats,150,Shmupland Dictators,131
,Stedro Boulders,123,Serkr Atolls,131
,TND Tanks,126,Red Rainbow Sickles,127
,Bongatar Banging Bongos,111,Naxda Nomads,108
,Czalliso Pythons,116,Kaeshar Kaisers,139
,Dvimne Spirits,131,Blanaxon Hammers,126
,Holy Yektonisa Bishops,129,Barsein Bats,127
,Holykol Bears,133,Autolik Autonomy,126
,Lyintaria Lynx,119,Solea Geysers,133
,Pyxanovia Pixies,120,Sagua Ocelots,131
,Transhimalia Disasters,120,Manwx Saguans,113
,Auspikitan Golden Falcons,128,Key to Don Yees,127
,Calto Cows,148,Height Sagua Cats,150
Game 52,Home,Score,Away,Score
,Stedro Boulders,126,Aahrus Moosi,113
,TND Tanks,118,Faehrenfall Feathercats,128
,Bongatar Banging Bongos,120,Ethanthova Ponies,116
,Czalliso Pythons,135,Dotruga Falno,127
,Dvimne Spirits,132,Boltway Bad Dragons,118
,Holy Yektonisa Bishops,127,Avura Aviators,119
,Holykol Bears,137,Aiyota Pumps,129
,Lyintaria Lynx,131,Shmupland Dictators,132
,Pyxanovia Pixies,143,Serkr Atolls,123
,Transhimalia Disasters,137,Red Rainbow Sickles,139
,Auspikitan Golden Falcons,140,Naxda Nomads,117
,Calto Cows,112,Kaeshar Kaisers,124
,Height Sagua Cats,135,Blanaxon Hammers,133
,Key to Don Yees,125,Barsein Bats,139
,Manwx Saguans,136,Autolik Autonomy,131
,Sagua Ocelots,129,Solea Geysers,120
Game 53,Home,Score,Away,Score
,Czalliso Pythons,111,Aahrus Moosi,116
,Bongatar Banging Bongos,123,Dvimne Spirits,124
,TND Tanks,111,Holy Yektonisa Bishops,129
,Stedro Boulders,143,Holykol Bears,134
,Faehrenfall Feathercats,134,Lyintaria Lynx,125
,Ethanthova Ponies,133,Pyxanovia Pixies,139
,Dotruga Falno,123,Transhimalia Disasters,120
,Boltway Bad Dragons,124,Auspikitan Golden Falcons,127
,Avura Aviators,105,Calto Cows,131
,Aiyota Pumps,114,Height Sagua Cats,121
,Shmupland Dictators,119,Key to Don Yees,122
,Serkr Atolls,154,Manwx Saguans,153
,Red Rainbow Sickles,121,Sagua Ocelots,138
,Naxda Nomads,105,Solea Geysers,115
,Kaeshar Kaisers,126,Autolik Autonomy,127
,Blanaxon Hammers,124,Barsein Bats,111
Game 54,Home,Score,Away,Score
,Blanaxon Hammers,135,Aahrus Moosi,155
,Kaeshar Kaisers,124,Barsein Bats,146
,Naxda Nomads,128,Autolik Autonomy,118
,Red Rainbow Sickles,120,Solea Geysers,121
,Serkr Atolls,139,Sagua Ocelots,134
,Shmupland Dictators,117,Manwx Saguans,122
,Aiyota Pumps,137,Key to Don Yees,134
,Avura Aviators,134,Height Sagua Cats,130
,Boltway Bad Dragons,134,Calto Cows,135
,Dotruga Falno,129,Auspikitan Golden Falcons,136
,Ethanthova Ponies,129,Transhimalia Disasters,113
,Faehrenfall Feathercats,130,Pyxanovia Pixies,141
,Stedro Boulders,120,Lyintaria Lynx,129
,TND Tanks,149,Holykol Bears,151
,Bongatar Banging Bongos,119,Holy Yektonisa Bishops,130
,Czalliso Pythons,111,Dvimne Spirits,119
Game 55,Home,Score,Away,Score
,Aahrus Moosi,112,Avura Aviators,128
,Boltway Bad Dragons,119,Aiyota Pumps,128
,Dotruga Falno,133,Shmupland Dictators,127
,Ethanthova Ponies,146,Serkr Atolls,129
,Faehrenfall Feathercats,121,Red Rainbow Sickles,107
,Stedro Boulders,123,Naxda Nomads,132
,TND Tanks,128,Kaeshar Kaisers,117
,Bongatar Banging Bongos,128,Blanaxon Hammers,118
,Czalliso Pythons,130,Barsein Bats,122
,Dvimne Spirits,121,Autolik Autonomy,110
,Holy Yektonisa Bishops,135,Solea Geysers,119
,Holykol Bears,136,Sagua Ocelots,123
,Lyintaria Lynx,133,Manwx Saguans,135
,Pyxanovia Pixies,110,Key to Don Yees,132
,Transhimalia Disasters,107,Height Sagua Cats,106
,Auspikitan Golden Falcons,120,Calto Cows,125
Game 56,Home,Score,Away,Score
,Aahrus Moosi,130,Faehrenfall Feathercats,117
,Stedro Boulders,128,Ethanthova Ponies,119
,TND Tanks,130,Dotruga Falno,114
,Bongatar Banging Bongos,119,Boltway Bad Dragons,127
,Czalliso Pythons,129,Avura Aviators,118
,Dvimne Spirits,124,Aiyota Pumps,128
,Holy Yektonisa Bishops,129,Shmupland Dictators,132
,Holykol Bears,132,Serkr Atolls,114
,Lyintaria Lynx,131,Red Rainbow Sickles,129
,Pyxanovia Pixies,115,Naxda Nomads,114
,Transhimalia Disasters,124,Kaeshar Kaisers,125
,Auspikitan Golden Falcons,134,Blanaxon Hammers,125
,Calto Cows,127,Barsein Bats,131
,Height Sagua Cats,139,Autolik Autonomy,135
,Key to Don Yees,136,Solea Geysers,135
,Manwx Saguans,131,Sagua Ocelots,132
Game 57,Home,Score,Away,Score
,Lyintaria Lynx,117,Transhimalia Disasters,125
,Holykol Bears,122,Pyxanovia Pixies,129
,Holy Yektonisa Bishops,117,Aiyota Pumps,132
,Dvimne Spirits,115,Avura Aviators,127
,Czalliso Pythons,116,Boltway Bad Dragons,126
,Bongatar Banging Bongos,130,Dotruga Falno,123
,TND Tanks,119,Ethanthova Ponies,130
,Stedro Boulders,125,Faehrenfall Feathercats,129
,Calto Cows,111,Aahrus Moosi,137
,Height Sagua Cats,117,Auspikitan Golden Falcons,128
,Key to Don Yees,116,Shmupland Dictators,104
,Manwx Saguans,127,Serkr Atolls,125
,Sagua Ocelots,146,Red Rainbow Sickles,134
,Solea Geysers,142,Naxda Nomads,135
,Autolik Autonomy,115,Kaeshar Kaisers,131
,Barsein Bats,127,Blanaxon Hammers,128
Game 58,Home,Score,Away,Score
,Aahrus Moosi,113,Key to Don Yees,129
,Height Sagua Cats,125,Manwx Saguans,127
,Calto Cows,131,Sagua Ocelots,142
,Auspikitan Golden Falcons,133,Solea Geysers,132
,Transhimalia Disasters,133,Autolik Autonomy,108
,Pyxanovia Pixies,131,Barsein Bats,118
,Lyintaria Lynx,114,Blanaxon Hammers,121
,Holykol Bears,149,Kaeshar Kaisers,133
,Holy Yektonisa Bishops,112,Naxda Nomads,116
,Dvimne Spirits,140,Red Rainbow Sickles,120
,Czalliso Pythons,109,Serkr Atolls,125
,Bongatar Banging Bongos,111,Shmupland Dictators,131
,TND Tanks,117,Aiyota Pumps,111
,Stedro Boulders,120,Avura Aviators,127
,Faehrenfall Feathercats,120,Boltway Bad Dragons,134
,Ethanthova Ponies,154,Dotruga Falno,127
Game 59,Home,Score,Away,Score
,Aahrus Moosi,134,Holykol Bears,125
,Holy Yektonisa Bishops,126,Lyintaria Lynx,128
,Dvimne Spirits,109,Pyxanovia Pixies,128
,Czalliso Pythons,109,Transhimalia Disasters,100
,Bongatar Banging Bongos,113,Auspikitan Golden Falcons,109
,TND Tanks,115,Calto Cows,122
,Stedro Boulders,164,Height Sagua Cats,146
,Faehrenfall Feathercats,120,Key to Don Yees,128
,Ethanthova Ponies,126,Manwx Saguans,135
,Dotruga Falno,126,Sagua Ocelots,132
,Boltway Bad Dragons,133,Solea Geysers,130
,Avura Aviators,125,Autolik Autonomy,122
,Aiyota Pumps,138,Barsein Bats,146
,Shmupland Dictators,128,Blanaxon Hammers,135
,Serkr Atolls,128,Kaeshar Kaisers,124
,Red Rainbow Sickles,117,Naxda Nomads,123
Game 60,Home,Score,Away,Score
,Aahrus Moosi,132,Bongatar Banging Bongos,135
,TND Tanks,115,Czalliso Pythons,100
,Stedro Boulders,119,Dvimne Spirits,106
,Faehrenfall Feathercats,131,Holy Yektonisa Bishops,127
,Ethanthova Ponies,124,Holykol Bears,132
,Dotruga Falno,125,Lyintaria Lynx,109
,Boltway Bad Dragons,126,Pyxanovia Pixies,141
,Avura Aviators,111,Transhimalia Disasters,117
,Aiyota Pumps,127,Auspikitan Golden Falcons,124
,Shmupland Dictators,131,Calto Cows,121
,Serkr Atolls,126,Height Sagua Cats,116
,Red Rainbow Sickles,134,Key to Don Yees,123
,Naxda Nomads,118,Manwx Saguans,138
,Kaeshar Kaisers,124,Sagua Ocelots,125
,Blanaxon Hammers,135,Solea Geysers,118
,Barsein Bats,144,Autolik Autonomy,117
Game 61,Home,Score,Away,Score
,Calto Cows,124,Aahrus Moosi,131
,Height Sagua Cats,108,Auspikitan Golden Falcons,131
,Key to Don Yees,126,Solea Geysers,140
,Manwx Saguans,131,Sagua Ocelots,133
,Blanaxon Hammers,113,Autolik Autonomy,122
,Kaeshar Kaisers,114,Barsein Bats,125
,Naxda Nomads,119,Shmupland Dictators,121
,Red Rainbow Sickles,125,Serkr Atolls,146
,Lyintaria Lynx,111,Transhimalia Disasters,112
,Holykol Bears,121,Pyxanovia Pixies,130
,Holy Yektonisa Bishops,120,Bongatar Banging Bongos,124
,Dvimne Spirits,130,Czalliso Pythons,112
,Faehrenfall Feathercats,141,TND Tanks,130
,Ethanthova Ponies,126,Stedro Boulders,117
,Dotruga Falno,132,Aiyota Pumps,133
,Boltway Bad Dragons,134,Avura Aviators,124
Game 62,Home,Score,Away,Score
,Aahrus Moosi,103,Autolik Autonomy,136
,Solea Geysers,115,Barsein Bats,109
,Sagua Ocelots,122,Blanaxon Hammers,136
,Manwx Saguans,142,Kaeshar Kaisers,130
,Key to Don Yees,133,Naxda Nomads,118
,Height Sagua Cats,122,Red Rainbow Sickles,110
,Calto Cows,120,Serkr Atolls,121
,Auspikitan Golden Falcons,138,Shmupland Dictators,121
,Transhimalia Disasters,135,Aiyota Pumps,128
,Pyxanovia Pixies,138,Avura Aviators,129
,Lyintaria Lynx,135,Boltway Bad Dragons,113
,Holykol Bears,127,Dotruga Falno,122
,Holy Yektonisa Bishops,137,Ethanthova Ponies,138
,Dvimne Spirits,125,Faehrenfall Feathercats,138
,Czalliso Pythons,122,Stedro Boulders,121
,Bongatar Banging Bongos,124,TND Tanks,157
Game 63,Home,Score,Away,Score
,Aahrus Moosi,127,Kaeshar Kaisers,128
,Naxda Nomads,120,Blanaxon Hammers,115
,Red Rainbow Sickles,128,Barsein Bats,138
,Serkr Atolls,126,Autolik Autonomy,123
,Shmupland Dictators,129,Solea Geysers,122
,Aiyota Pumps,132,Sagua Ocelots,125
,Avura Aviators,109,Manwx Saguans,113
,Boltway Bad Dragons,127,Key to Don Yees,126
,Dotruga Falno,108,Height Sagua Cats,125
,Ethanthova Ponies,155,Calto Cows,150
,Faehrenfall Feathercats,137,Auspikitan Golden Falcons,127
,Stedro Boulders,140,Transhimalia Disasters,134
,TND Tanks,119,Pyxanovia Pixies,122
,Bongatar Banging Bongos,143,Lyintaria Lynx,122
,Czalliso Pythons,111,Holykol Bears,114
,Dvimne Spirits,126,Holy Yektonisa Bishops,131
Game 64,Home,Score,Away,Score
,Transhimalia Disasters,124,Ethanthova Ponies,116
,Dotruga Falno,122,Faehrenfall Feathercats,127
,Boltway Bad Dragons,129,Stedro Boulders,125
,Avura Aviators,114,TND Tanks,115
,Aiyota Pumps,123,Bongatar Banging Bongos,119
,Pyxanovia Pixies,126,Czalliso Pythons,117
,Lyintaria Lynx,106,Dvimne Spirits,134
,Holykol Bears,122,Holy Yektonisa Bishops,120
,Aahrus Moosi,128,Kaeshar Kaisers,111
,Naxda Nomads,145,Blanaxon Hammers,143
,Red Rainbow Sickles,152,Barsein Bats,151
,Serkr Atolls,118,Autolik Autonomy,130
,Shmupland Dictators,118,Solea Geysers,103
,Auspikitan Golden Falcons,118,Sagua Ocelots,123
,Calto Cows,147,Manwx Saguans,150
,Height Sagua Cats,124,Key to Don Yees,137
Game 65,Home,Score,Away,Score
,Aahrus Moosi,113,Red Rainbow Sickles,134
,Serkr Atolls,141,Naxda Nomads,130
,Shmupland Dictators,126,Kaeshar Kaisers,125
,Aiyota Pumps,132,Blanaxon Hammers,134
,Avura Aviators,116,Barsein Bats,126
,Boltway Bad Dragons,134,Autolik Autonomy,126
,Dotruga Falno,129,Solea Geysers,121
,Ethanthova Ponies,139,Sagua Ocelots,132
,Faehrenfall Feathercats,131,Manwx Saguans,141
,Stedro Boulders,133,Key to Don Yees,137
,TND Tanks,115,Height Sagua Cats,111
,Bongatar Banging Bongos,127,Calto Cows,116
,Czalliso Pythons,120,Auspikitan Golden Falcons,131
